입찰공고명,공고기관명,기초금액,개찰일자,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
24-생활계폐기물 위탁처리,공군사관학교,102080000,2024-02-05,85462800,84.283,2024-02-05,주식회사 케이엘,최창옥,정진아,"전라남도 순천시 연향번영8길21, 2층 (연향동)"
24년 학군장교 임관식 조립식 관람석 임차,육군학생군사학교,121841176,2024-02-05,109861760,89.759,2024-02-05,주식회사 스페이스락,이영근,김혜령,충청북도 진천군 덕산면 신척산단1로29
24년 DIDC 1센터 UPS 유지보수 용역,국방통합데이터센터,22000000,2024-02-05,19446080,87.765,2024-02-05,태일자동제어(주),한연수,한연수,광주광역시 광산구 신가매결길28(신창동)
24년 DIDC 2센터 UPS 유지보수 용역,국방통합데이터센터,19800000,2024-02-05,17475424,87.779,2024-02-05,뉴테크원,김정희,정문식,"경기도 화성시 동탄순환대로830,  419호 (영천동, 동탄SK V1 center)"
24년 음식물쓰레기 처리 용역,공군제3방공유도탄여단,139617640,2024-02-05,117620880,84.326,2024-02-06,우리산업,김순희,김순희,경기도 여주시 가남읍 경충대로1527-3
24년 유류중대 급유시설 민간위탁 기술검사 용역,제2167부대,109768960,2024-02-06,95979670,87.751,2024-02-06,주식회사 거산지엔에스,이용순,이지선,경기도 부천시 원미구 신흥로 106(심곡동)
24년 주거시설 청소/경비 용역,제2군단,864811050,2024-02-06,765283240,88.001,2024-02-06,성오보안공사주식회사,권경희,이은서,대구광역시 동구 동호로3길 22()
24년 지정폐기물처리용역(대구),제6335부대,15973627,2024-02-06,13726400,85.553,2024-02-06,대덕정유(주)복수사업소,한미자,박성민,충청남도 금산군 복수면 다복로537-34(용진리)
24년 지정폐기물처리용역(장성),제6335부대,28565313,2024-02-06,24086718,84.96,2024-02-06,씨이케이 주식회사,이상민,이법성,전라남도 여수시 진달래길310-73 (월내동)
24년 지정폐기물처리용역(대전),제6335부대,69052549,2024-02-06,58289000,84.297,2024-02-06,코어엔텍 주식회사,송용석,조효행,경기도 시흥시 소망공원로5 (정왕동)
24년 지정폐기물처리용역(김해),제6335부대,43513872,2024-02-06,36732000,85.074,2024-02-06,코어엔텍 주식회사,송용석,조효행,경기도 시흥시 소망공원로5 (정왕동)
24년 훈련장 관리(잔디/조경)용역,국군체육부대,835158000,2024-02-06,736237000,88.466,2024-02-08,주식회사 한울,윤정호,김미은,경상남도 합천군 합천읍 계림2길27-44
방위사업 원가계산 외부용역(1차),방위사업청(운영지원과),0,2024-02-06,660000000,88.336,2024-02-19,(재)동양경제연구원,최홍석,김은지,"부산광역시 강서구 유통단지1로41, 본관동 301호 (대저2동, 부산티플렉스)"
24-평 폐기물(폐합성수지) 처리 용역,제9911부대,154800000,2024-02-06,131085480,84.467,2024-02-07,티와이산업,권칠범,이서윤,경기도 화성시 양감면 사격장길88-16
24-F-○○행사장 조경용역,국군재정관리단,83780000,2024-02-06,73819156,88,2024-02-06,주식회사 도남엘앤씨,이인숙,이인숙,"경기도 성남시 분당구 정자일로136 , 301동711호(정자동,정자역엠코헤리츠3단지)"
(24F027-A) 음식물류 폐기물위탁처리용역,국군재정관리단,108211760,2024-02-06,90691140,84.539,2024-02-06,태민환경,전혜경,전혜경,"경기도 가평군 가평읍 보납로22, 2층 나호"
24-N-오수관거시설 민간위탁 관리용역,국군재정관리단,322950000,2024-02-06,276884800,85.543,2024-02-06,주식회사 에코비트워터,김인석,주치훈,"경기도 성남시 수정구 위례서일로18, 205호(창곡동)"
